event_id,event_date,city,side,channel,pilot_group,event_type,requests,completed_trips,cancelled_trips,response_time_min,success_rate_pct,adoption_rate_pct,revenue_inr,cost_inr,satisfaction_score
EVT-00390,2025-01-01,Kolkata,Driver,Web,Control,Trip Completed,6.0,3.0,3.0,2.16,50.0,60.54,766.61,490.88,4.8
EVT-00073,2025-01-01,Chennai,Rider,App,Pilot,Trip Completed,23.0,0.0,23.0,15.85,0.0,67.69,0.0,0.0,2.6
EVT-00544,2025-01-01,Bengaluru,Rider,App,Pilot,Trip Cancelled,12.0,4.0,8.0,11.15,33.33,51.77,362.63,148.58,4.1
EVT-00333,2025-01-01,Hyderabad,Rider,Partner,Pilot,Trip Completed,15.0,11.0,4.0,13.46,73.33,42.03,3155.11,1547.66,2.9
EVT-00063,2025-01-01,Mumbai,Driver,Web,Control,Trip Completed,13.0,10.0,3.0,11.3,76.92,58.26,2344.51,1463.68,3.9
EVT-00491,2025-01-01,Kolkata,Rider,Partner,Pilot,Trip Completed,12.0,6.0,6.0,8.28,50.0,63.02,1656.15,1393.93,3.1
EVT-00133,2025-01-01,Bengaluru,Rider,Web,Pilot,Driver Online,26.0,1.0,25.0,17.99,3.85,38.04,412.24,228.16,4.7
EVT-00539,2025-01-02,Kolkata,Driver,Web,Control,Trip Completed,29.0,2.0,27.0,12.23,6.9,81.75,181.43,74.53,4.1
EVT-00518,2025-01-02,Delhi,Rider,Partner,Pilot,Trip Cancelled,32.0,27.0,5.0,10.09,84.38,64.55,2812.12,2134.83,3.3
EVT-00450,2025-01-02,Chennai,Driver,Web,Pilot,Rider Request,33.0,12.0,21.0,11.7,36.36,77.88,3680.26,2228.34,3.6
EVT-00018,2025-01-02,Delhi,Driver,Web,Control,Rider Request,9.0,8.0,1.0,7.26,88.89,80.74,3080.14,2444.22,4.4
EVT-00280,2025-01-02,Pune,Driver,App,Pilot,Trip Completed,15.0,10.0,5.0,13.65,66.67,90.63,1488.95,958.58,4.3
EVT-00331,2025-01-02,Chennai,Driver,Partner,Control,Rider Request,32.0,28.0,4.0,13.18,87.5,64.97,8660.28,6334.53,2.6
EVT-00005,2025-01-02,Chennai,Driver,Web,Pilot,Trip Completed,18.0,11.0,7.0,17.0,61.11,91.37,3116.15,2527.0,2.7
EVT-00273,2025-01-02,Chennai,Rider,App,Control,Trip Completed,3.0,1.0,2.0,15.24,33.33,92.08,84.13,57.8,2.6
EVT-00170,2025-01-02,Pune,Rider,Partner,Pilot,Rider Request,15.0,2.0,13.0,3.99,13.33,56.57,441.12,321.62,4.4
EVT-00171,2025-01-03,Kolkata,Driver,Partner,Pilot,Trip Completed,25.0,4.0,21.0,9.665,16.0,64.08,332.69,157.48,4.3
EVT-00356,2025-01-03,Delhi,Driver,Partner,Pilot,Trip Completed,9.0,6.0,3.0,2.58,66.67,90.89,1336.49,799.82,4.8
EVT-00149,2025-01-03,Chennai,Rider,Partner,Pilot,Trip Completed,5.0,3.0,2.0,16.8,60.0,69.02,1098.87,670.84,4.1
EVT-00490,2025-01-04,Kolkata,Driver,App,Control,Trip Completed,14.0,5.0,9.0,5.9,35.71,42.53,791.54,319.15,4.6
EVT-00232,2025-01-04,Chennai,Rider,Web,Pilot,Trip Cancelled,14.0,11.0,3.0,11.02,78.57,78.96,902.77,361.53,4.7
EVT-00028,2025-01-05,Kolkata,Driver,Web,Pilot,Trip Cancelled,16.0,12.0,4.0,17.5,75.0,80.02,1127.56,619.49,3.6
